feature_name,sensor,normal_mean,anomaly_mean,mean_difference,normal_std,anomaly_std,normal_median,anomaly_median,cohens_d,mann_whitney_u,p_value,mutual_info
"Noise__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",Noise,0.2836,10.1827,9.8991,0.1796,11.4442,0.2322,5.8452,1.1953,1483.0,8.216788138021301e-89,0.5454
Pressure__spkt_welch_density__coeff_8,Pressure,0.0039,0.2602,0.2563,0.0041,0.2966,0.0026,0.1729,1.1944,3515.0,3.7389255465695016e-80,0.4912
"Noise__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",Noise,0.0244,1.4644,1.44,0.0255,1.669,0.0174,0.865,1.1923,3180.0,1.5012352991735686e-81,0.5281
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0",Temperature,0.0335,0.8749,0.8415,0.0224,0.9765,0.0293,0.5193,1.1907,2300.0,2.8191884759708653e-85,0.507
"Vibration__linear_trend__attr_""pvalue""",Vibration,0.3985,0.0796,-0.3189,0.3303,0.1945,0.3674,0.0002,1.1904,66870.0,5.622333591667653e-38,0.2188
"Temperature__linear_trend__attr_""rvalue""",Temperature,0.0445,0.3835,0.3389,0.3302,0.2364,0.048,0.4138,1.1895,17139.0,9.195894653615786e-34,0.0973
Pressure__time_reversal_asymmetry_statistic__lag_1,Pressure,0.0669,7.3155,7.2486,0.2499,8.4196,0.0368,4.6852,1.1893,3596.0,8.10050812708155e-80,0.5566
Motor_Current__spkt_welch_density__coeff_5,Motor_Current,0.0064,1.2526,1.2462,0.0082,1.4517,0.0039,0.8245,1.1863,2354.0,4.799832868685719e-85,0.5162
Pressure__spkt_welch_density__coeff_5,Pressure,0.0042,0.2401,0.2359,0.0042,0.2749,0.0028,0.1425,1.186,3954.0,2.4205592138391613e-78,0.4687
"Vibration__fft_coefficient__attr_""imag""__coeff_3",Vibration,0.0243,1.0624,1.0381,0.1226,1.2049,0.0199,1.026,1.1851,16043.0,9.576966725536647e-37,0.4627
"Noise__fft_coefficient__attr_""imag""__coeff_3",Noise,0.2232,12.6846,12.4614,2.4097,14.3855,0.2348,11.7326,1.1822,15959.0,5.5879518325074395e-37,0.3754
"Pressure__fft_coefficient__attr_""imag""__coeff_3",Pressure,0.0267,1.2837,1.257,0.1909,1.4584,0.0289,1.2958,1.182,14873.0,4.497308696696107e-40,0.4417
Motor_Current__index_mass_quantile__q_0.3,Motor_Current,0.3178,0.3324,0.0147,0.0166,0.0066,0.3333,0.3333,1.1813,23197.0,3.514119293075274e-34,0.1216
"Motor_Current__linear_trend__attr_""pvalue""",Motor_Current,0.351,0.0623,-0.2887,0.309,0.1659,0.2647,0.0014,1.1795,67405.0,1.66311523539524e-39,0.1956
Motor_Current__index_mass_quantile__q_0.2,Motor_Current,0.218,0.2323,0.0143,0.0166,0.0057,0.2333,0.2333,1.1766,23507.0,6.680429307820549e-34,0.1548
Vibration__last_location_of_minimum,Vibration,0.5577,0.2485,-0.3092,0.295,0.2299,0.6,0.1667,1.1757,65538.0,2.115922571459537e-34,0.1497
Pressure__first_location_of_maximum,Pressure,0.4977,0.7834,0.2857,0.3031,0.1711,0.5333,0.8333,1.1752,18567.0,3.623831829942528e-30,0.1438
Temperature__spkt_welch_density__coeff_8,Temperature,0.1558,8.1523,7.9965,0.1743,9.4411,0.0937,5.129,1.1704,3746.0,3.376017706147833e-79,0.4606
"Pressure__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",Pressure,0.0019,0.0646,0.0627,0.0014,0.0742,0.0015,0.0342,1.1683,1889.0,4.794294950565035e-87,0.5034
"Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",Pressure,0.0087,0.0559,0.0472,0.0092,0.0554,0.0067,0.04,1.1634,16348.5,2.0955194095682064e-36,0.2668
"Temperature__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""mean""",Temperature,0.0954,0.339,0.2436,0.0688,0.2819,0.0834,0.2751,1.1631,16875.0,1.8079468436163643e-34,0.2051
"Temperature__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",Temperature,0.1214,0.5035,0.3821,0.0928,0.4454,0.1039,0.4099,1.1628,13101.5,2.1343064634913905e-45,0.2506
"Vibration__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",Vibration,0.0006,0.0563,0.0557,0.0004,0.0666,0.0005,0.0337,1.1559,348.0,7.620047012117424e-94,0.6097
Motor_Current__energy_ratio_by_chunks__num_segments_10__segment_focus_2,Motor_Current,0.0998,0.0934,-0.0064,0.0011,0.0075,0.0999,0.0923,1.1546,67127.0,1.0455008955581997e-38,0.452
Noise__time_reversal_asymmetry_statistic__lag_1,Noise,51.2883,5556.8785,5505.5901,188.5701,6593.1962,36.0431,3284.527,1.1536,5189.0,2.322941393485281e-73,0.5835
"Pressure__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",Pressure,0.0006,0.0402,0.0396,0.0006,0.0475,0.0005,0.0241,1.1525,1825.0,2.5323344981628725e-87,0.5559
Noise__skewness,Noise,-0.0067,0.6046,0.6113,0.4237,0.6123,0.003,0.5151,1.1516,16563.0,2.5855160971081993e-35,0.1324
Noise__index_mass_quantile__q_0.4,Noise,0.4186,0.4326,0.0139,0.0166,0.0057,0.4333,0.4333,1.1478,24046.0,9.073002957104279e-33,0.165
Noise__energy_ratio_by_chunks__num_segments_10__segment_focus_7,Noise,0.1002,0.1062,0.006,0.0017,0.0071,0.1002,0.1051,1.1476,16603.0,3.322212266218528e-35,0.2931
Pressure__longest_strike_below_mean,Pressure,4.8577,8.2857,3.4281,2.0031,3.6805,4.5,7.0,1.1424,14857.5,9.88337706735867e-41,0.1417
"Vibration__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",Vibration,0.007,0.0703,0.0633,0.0069,0.0763,0.0059,0.05,1.1423,13634.5,4.405530749917006e-44,0.3447
Motor_Current__index_mass_quantile__q_0.7,Motor_Current,0.7196,0.7329,0.0133,0.0164,0.0038,0.7333,0.7333,1.1412,24778.5,1.8520103021456746e-32,0.1485
"Noise__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",Noise,0.2233,1.3649,1.1415,0.2364,1.3639,0.17,0.9425,1.1412,14357.5,8.225808830128736e-42,0.2745
"Noise__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",Noise,0.1162,0.7519,0.6357,0.7125,0.364,0.2116,0.8995,1.1395,19622.0,1.7220082050121055e-27,0.1653
Pressure__skewness,Pressure,0.0788,0.7356,0.6568,0.4186,0.6913,0.0612,0.6189,1.1371,15434.0,1.851194718634852e-38,0.1441
Vibration__spkt_welch_density__coeff_8,Vibration,0.0011,0.1402,0.1391,0.001,0.1692,0.0007,0.0865,1.1366,2781.0,3.1434536705310826e-83,0.522
Motor_Current__variance_larger_than_standard_deviation,Motor_Current,0.0,0.402,0.402,0.0,0.4903,0.0,0.0,1.1331,24660.0,3.880956478392557e-32,0.1412
Noise__index_mass_quantile__q_0.2,Noise,0.218,0.232,0.014,0.0166,0.0065,0.2333,0.2333,1.129,23918.0,5.789616702372007e-32,0.1493
Vibration__autocorrelation__lag_6,Vibration,-0.0872,0.1793,0.2665,0.2664,0.2044,-0.1208,0.1983,1.1289,17668.0,2.2710453628235943e-32,0.1585
"Motor_Current__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2",Motor_Current,0.0018,0.2572,0.2555,0.0018,0.3129,0.0014,0.1428,1.1284,394.0,1.2265202293662282e-93,0.6172
Noise__time_reversal_asymmetry_statistic__lag_2,Noise,109.5554,11144.9833,11035.4278,348.0626,13520.8976,69.8481,6018.9915,1.1276,2282.0,2.360582614587574e-85,0.5719
Pressure__index_mass_quantile__q_0.6,Pressure,0.6191,0.6326,0.0135,0.0165,0.005,0.6333,0.6333,1.1265,24587.5,7.34172987399847e-32,0.1659
"Vibration__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""",Vibration,0.08,0.5845,0.5044,0.4868,0.4098,0.0248,0.7231,1.1257,17500.0,8.265170028362539e-33,0.1297
Pressure__index_mass_quantile__q_0.2,Pressure,0.2193,0.2327,0.0133,0.0165,0.0047,0.2333,0.2333,1.125,24751.5,8.398610160183362e-32,0.1332
Temperature__autocorrelation__lag_9,Temperature,-0.2191,0.0129,0.232,0.2078,0.2051,-0.2351,0.0266,1.1243,17036.0,4.885306605265092e-34,0.1518
Pressure__index_mass_quantile__q_0.7,Pressure,0.7196,0.7328,0.0132,0.0164,0.0043,0.7333,0.7333,1.124,24915.5,9.303670737273372e-32,0.1517
Noise__index_mass_quantile__q_0.3,Noise,0.319,0.3324,0.0135,0.0165,0.0054,0.3333,0.3333,1.1191,24574.0,1.4592514670368818e-31,0.1212
"Temperature__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",Temperature,0.1555,1.1596,1.0041,0.1261,1.2445,0.1313,0.7633,1.1099,19679.0,1.9688694091186795e-27,0.3032
"Vibration__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",Vibration,0.0539,0.7467,0.6928,0.7463,0.4892,0.108,0.9501,1.1083,16942.0,2.7350518041550684e-34,0.1789
"Temperature__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",Temperature,0.0514,0.55,0.4986,0.4902,0.4111,0.0513,0.7014,1.1066,17113.0,7.840807499133242e-34,0.1471
Motor_Current__index_mass_quantile__q_0.6,Motor_Current,0.6192,0.6328,0.0136,0.0165,0.0063,0.6333,0.6333,1.1058,24638.0,4.0140785854808535e-31,0.1331
"Noise__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",Noise,15.9335,20.4751,4.5416,0.6062,5.6474,15.9697,19.4733,1.1056,19071.0,7.981546454724832e-29,0.3408
Noise__index_mass_quantile__q_0.8,Noise,0.8184,0.832,0.0136,0.0166,0.0065,0.8333,0.8333,1.1015,24369.5,7.637456474833161e-31,0.1435
"Pressure__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",Pressure,0.0166,0.069,0.0524,0.0146,0.0643,0.0115,0.0491,1.1008,15977.5,6.2602143483780714e-37,0.1521
"Motor_Current__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",Motor_Current,0.0184,0.0949,0.0764,0.0151,0.0952,0.0144,0.0693,1.097,13322.5,1.0252871239679655e-44,0.2417
"Motor_Current__agg_autocorrelation__f_agg_""mean""__maxlag_40",Motor_Current,-0.0825,-0.2273,-0.1448,0.1196,0.1429,-0.0389,-0.2085,1.0937,67482.0,9.960731486916375e-40,0.2053
"Noise__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",Noise,0.1035,0.8128,0.7093,0.123,0.8902,0.06,0.55,1.0918,19669.0,8.653696445762567e-28,0.2556
Noise__index_mass_quantile__q_0.6,Noise,0.6198,0.6328,0.0129,0.0164,0.0051,0.6333,0.6333,1.0908,25272.0,1.9106496535519173e-30,0.1234
"Pressure__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",Pressure,0.0012,0.0436,0.0424,0.0012,0.0538,0.0009,0.024,1.0899,2288.0,2.50446085026912e-85,0.5064
"Motor_Current__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2",Motor_Current,0.0006,0.1108,0.1102,0.0007,0.1397,0.0005,0.0568,1.0897,433.0,1.8354751368353699e-93,0.607
"Pressure__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",Pressure,0.1192,0.7523,0.6331,0.7435,0.3773,0.2402,0.9139,1.0892,19871.0,6.68853904218669e-27,0.2487
"Motor_Current__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",Motor_Current,-0.0014,-0.509,-0.5076,0.0452,0.6435,-0.0017,-0.5052,1.0877,68825.0,1.026159355753426e-43,0.4879
Motor_Current__spkt_welch_density__coeff_2,Motor_Current,0.0105,1.5063,1.4958,0.0121,1.9028,0.0066,0.8836,1.0864,1223.0,5.946711476479333e-90,0.5552
Noise__last_location_of_minimum,Noise,0.4816,0.2207,-0.2609,0.2927,0.18,0.4833,0.1667,1.0856,62683.5,3.581462675703081e-27,0.1195
"Vibration__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",Vibration,0.0061,0.0514,0.0452,0.0066,0.0573,0.005,0.035,1.0853,14201.5,1.8055527278247848e-42,0.3704
Pressure__index_mass_quantile__q_0.9,Pressure,0.9186,0.932,0.0134,0.0166,0.0065,0.9333,0.9333,1.0833,24670.5,4.17707900200558e-30,0.1228
"Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",Pressure,0.0101,0.0757,0.0656,0.0087,0.0833,0.01,0.055,1.0829,16995.0,1.8795546953823006e-34,0.3059
"Noise__agg_autocorrelation__f_agg_""median""__maxlag_40",Noise,-0.0491,-0.155,-0.106,0.0582,0.1236,-0.0412,-0.1238,1.0811,66068.0,9.627350651195612e-36,0.1442
Noise__spkt_welch_density__coeff_8,Noise,0.5898,31.6851,31.0954,0.6239,39.8042,0.4026,16.6985,1.0795,3776.0,4.4883614330980446e-79,0.4793
Temperature__skewness,Temperature,-0.0049,0.623,0.6279,0.4235,0.6956,-0.0152,0.53,1.0788,17338.0,3.097807083773954e-33,0.1497
"Temperature__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""",Temperature,0.1061,0.753,0.647,0.7276,0.4553,0.2161,0.9406,1.0771,18327.0,1.1180045311757995e-30,0.1275
"Temperature__cwt_coefficients__coeff_4__w_2__widths_(2, 5, 10, 20)",Temperature,20.6458,22.629,1.9832,0.3784,2.5207,20.6555,21.9946,1.0763,18820.0,1.92073905287625e-29,0.3104
"Noise__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",Noise,-0.0514,-2.2445,-2.1931,0.4702,2.7832,0.004,-2.0667,1.0751,66881.0,5.23351773025367e-38,0.3678
"Motor_Current__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",Motor_Current,3.0221,3.9588,0.9367,0.063,1.2042,3.0198,3.6895,1.0737,22438.0,3.450676327628679e-21,0.441
Noise__spkt_welch_density__coeff_5,Noise,0.638,28.6761,28.0381,0.6896,36.1018,0.397,15.9179,1.0732,4479.0,3.328198520402121e-76,0.4477
"Pressure__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",Pressure,0.0006,0.0261,0.0255,0.0005,0.0329,0.0005,0.0137,1.0728,2762.0,2.6121738597637413e-83,0.4954
"Vibration__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)",Vibration,0.0712,0.451,0.3797,0.0385,0.4899,0.0776,0.3742,1.0682,17849.0,6.69453530001814e-32,0.4902
Vibration__autocorrelation__lag_7,Vibration,-0.1182,0.1124,0.2305,0.2343,0.198,-0.1391,0.1391,1.0671,18699.0,9.611682999027564e-30,0.1159
"Temperature__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",Temperature,0.0607,1.4761,1.4154,0.0538,1.8383,0.0459,0.7887,1.0637,4423.0,1.974972808023317e-76,0.4111
Pressure__index_mass_quantile__q_0.8,Pressure,0.8193,0.8322,0.0129,0.0165,0.006,0.8333,0.8333,1.0603,25299.5,3.571341952219137e-29,0.1396
Vibration__autocorrelation__lag_8,Vibration,-0.1181,0.0815,0.1996,0.2035,0.1743,-0.1245,0.1124,1.0575,18799.0,1.703728869310808e-29,0.1199
Temperature__autocorrelation__lag_7,Temperature,-0.1866,0.0268,0.2134,0.2007,0.2038,-0.1826,0.0411,1.0549,18743.0,1.236852876324122e-29,0.1092
"Motor_Current__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",Motor_Current,0.0003,0.0329,0.0326,0.0004,0.0428,0.0002,0.0166,1.0549,1330.0,1.755527059744317e-89,0.5537
Motor_Current__index_mass_quantile__q_0.8,Motor_Current,0.8192,0.8321,0.0129,0.0165,0.0063,0.8333,0.8333,1.0538,25286.0,6.593150962980954e-29,0.0924
"Motor_Current__fft_coefficient__attr_""imag""__coeff_3",Motor_Current,0.0582,2.6623,2.604,0.2413,3.4137,0.0308,2.6962,1.0518,18417.0,1.887467035580556e-30,0.516
"Pressure__agg_autocorrelation__f_agg_""median""__maxlag_40",Pressure,-0.0597,-0.1648,-0.1051,0.0786,0.1165,-0.0413,-0.1364,1.0484,66538.0,4.8200649425187735e-37,0.1417
Motor_Current__count_above_mean,Motor_Current,14.6095,12.3123,-2.2972,1.8035,2.4983,14.5,13.0,1.0466,62852.0,5.812011130113203e-28,0.15
Noise__index_mass_quantile__q_0.7,Noise,0.7202,0.7326,0.0124,0.0163,0.005,0.7333,0.7333,1.0463,25942.0,1.323740049548501e-28,0.1153
Noise__autocorrelation__lag_4,Noise,-0.0114,0.2036,0.2151,0.2124,0.1991,-0.0147,0.2244,1.0462,18936.0,3.717203233229451e-29,0.123
Motor_Current__energy_ratio_by_chunks__num_segments_10__segment_focus_7,Motor_Current,0.1003,0.1066,0.0063,0.0011,0.0083,0.1002,0.105,1.045,17573.0,1.2834460131673333e-32,0.3897
"Temperature__fft_coefficient__attr_""imag""__coeff_2",Temperature,-0.119,5.8556,5.9746,2.6435,7.4957,-0.3028,5.8613,1.0441,17717.0,3.0456423899675673e-32,0.2643
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",Temperature,0.007,0.3401,0.3331,0.0061,0.4413,0.0051,0.1863,1.043,2759.5,2.5493790400217592e-83,0.5201
"Motor_Current__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0",Motor_Current,0.0027,0.2066,0.2039,0.0019,0.2702,0.0021,0.099,1.0428,500.0,3.6654529682350144e-93,0.61
Motor_Current__time_reversal_asymmetry_statistic__lag_1,Motor_Current,0.3095,49.1301,48.8206,1.0494,64.7953,0.0908,25.8329,1.0412,4021.0,4.554923963237774e-78,0.6004
"Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",Pressure,0.0005,0.0149,0.0144,0.0005,0.0192,0.0003,0.0075,1.0399,3052.5,4.3832028023614575e-82,0.4335
Pressure__cid_ce__normalize_True,Pressure,7.1815,6.0711,-1.1104,0.9725,1.1537,7.3317,6.1195,1.0366,63467.0,5.559081937666664e-29,0.1348
"Pressure__fft_coefficient__attr_""angle""__coeff_1",Pressure,9.2105,86.3414,77.1309,99.3014,40.7207,22.3006,90.8289,1.0338,23156.0,1.0159884491840291e-19,0.225
Temperature__energy_ratio_by_chunks__num_segments_10__segment_focus_1,Temperature,0.1,0.0973,-0.0026,0.0008,0.0034,0.1,0.0973,1.0321,63076.0,4.98573334018673e-28,0.3073
Vibration__autocorrelation__lag_5,Vibration,-0.0193,0.2341,0.2534,0.278,0.2122,-0.0732,0.2613,1.0312,18740.0,1.2157871873989811e-29,0.1433
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",Temperature,0.0229,0.5312,0.5083,0.0211,0.6822,0.0172,0.2818,1.0292,4979.0,3.3935033325092833e-74,0.4074
Vibration__first_location_of_maximum,Vibration,0.4622,0.7332,0.2711,0.2999,0.2281,0.4333,0.8,1.0238,20408.0,1.0543323374672282e-25,0.0991
"Vibration__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",Vibration,0.0001,0.0074,0.0073,0.0001,0.0099,0.0001,0.0035,1.0207,2143.0,5.971494468561001e-86,0.5472
Vibration__abs_energy,Vibration,1.4914,189.1206,187.6292,0.5921,255.5961,1.3254,93.6984,1.0145,250.0,2.759346994729396e-94,0.6388
"Noise__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""min""",Noise,0.1984,0.8495,0.6511,0.1594,0.8744,0.1588,0.5947,1.0139,15275.5,6.527583470213033e-39,0.2157
"Temperature__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",Temperature,0.0216,1.0023,0.9807,0.0184,1.3435,0.0164,0.5164,1.0088,3369.5,9.285543755885723e-81,0.4943
Pressure__index_mass_quantile__q_0.1,Pressure,0.1191,0.1317,0.0126,0.0165,0.0073,0.1333,0.1333,1.0032,25683.5,7.255985333659988e-27,0.1202
"Vibration__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",Vibration,-0.0063,-0.1989,-0.1926,0.0368,0.2638,-0.0001,-0.1785,1.0001,59523.0,3.91901130889068e-20,0.4173
"Temperature__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",Temperature,0.0081,0.254,0.2459,0.007,0.34,0.006,0.1226,0.9993,4894.0,1.5528076775979115e-74,0.4612
"Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",Pressure,0.0002,0.0092,0.009,0.0002,0.0125,0.0002,0.0052,0.9986,2707.5,1.535067017876636e-83,0.495
"Pressure__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",Pressure,0.0002,0.0148,0.0146,0.0002,0.0202,0.0002,0.0076,0.9982,1897.0,5.190546424055813e-87,0.5342
"Motor_Current__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",Motor_Current,0.0018,0.139,0.1371,0.0018,0.1899,0.0013,0.0642,0.9982,1162.0,3.2035608495826393e-90,0.5485
"Pressure__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",Pressure,0.9524,1.267,0.3147,0.0627,0.4323,0.9601,1.2515,0.9964,22067.0,5.713931464866457e-22,0.3857
"Vibration__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""max""",Vibration,0.0684,0.678,0.6095,0.7192,0.4942,0.0,0.8949,0.9963,19597.5,1.4544982285231277e-27,0.2395
"Vibration__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4",Vibration,0.0001,0.0097,0.0096,0.0001,0.0133,0.0001,0.0048,0.9937,832.5,1.1141766792150588e-91,0.5613
"Vibration__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2",Vibration,0.0066,0.0518,0.0452,0.0066,0.0629,0.005,0.03,0.9878,17384.5,1.9942110461333433e-33,0.2878
Temperature__energy_ratio_by_chunks__num_segments_10__segment_focus_8,Temperature,0.1001,0.1027,0.0026,0.0008,0.0035,0.1001,0.1024,0.9854,18233.0,6.4559122095576535e-31,0.2847
"Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",Pressure,0.009,0.0651,0.0561,0.0077,0.0783,0.008,0.0433,0.9853,16937.5,1.4674067927996436e-34,0.2837
Motor_Current__index_mass_quantile__q_0.9,Motor_Current,0.919,0.9315,0.0125,0.0165,0.0077,0.9333,0.9333,0.9836,25807.0,4.42437858631652e-26,0.096
Temperature__index_mass_quantile__q_0.8,Temperature,0.8167,0.83,0.0133,0.0167,0.01,0.8167,0.8333,0.9823,24728.5,4.97429215773165e-26,0.1028
"Vibration__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",Vibration,0.0003,0.0266,0.0263,0.0003,0.0372,0.0002,0.014,0.9796,827.0,1.0545017779226071e-91,0.5947
"Noise__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",Noise,0.0242,1.1184,1.0943,0.0235,1.5466,0.0162,0.5199,0.9777,3151.0,1.1350017031451446e-81,0.5077
Noise__spkt_welch_density__coeff_2,Noise,0.7782,35.4054,34.6272,0.8339,49.0121,0.4955,20.0339,0.9763,2685.0,1.2326046202888396e-83,0.4953
"Motor_Current__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",Motor_Current,0.0008,0.0956,0.0948,0.0009,0.1346,0.0005,0.0485,0.9737,950.0,3.7054430172491526e-91,0.5681
"Temperature__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",Temperature,0.0585,0.3918,0.3333,0.0614,0.4698,0.0417,0.24,0.973,20737.0,3.2169041454924416e-25,0.2714
"Noise__fft_coefficient__attr_""angle""__coeff_1",Noise,13.0933,87.4044,74.3111,101.4663,43.2224,25.8275,91.9607,0.9688,23902.0,2.9780464451259983e-18,0.1779
Noise__cid_ce__normalize_True,Noise,7.264,6.3156,-0.9485,0.8396,1.0912,7.3649,6.4157,0.9684,61840.0,3.9811077667669326e-25,0.0962
Noise__autocorrelation__lag_5,Noise,-0.0145,0.1611,0.1755,0.1725,0.1889,-0.0188,0.1735,0.9683,20064.0,1.9152475363397833e-26,0.0969
"Noise__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2",Noise,0.0725,3.3515,3.279,0.073,4.6822,0.0507,1.5369,0.9678,3485.0,2.806739705654074e-80,0.4675
Vibration__spkt_welch_density__coeff_5,Vibration,0.0011,0.1511,0.15,0.0011,0.2147,0.0008,0.0836,0.9655,2282.0,2.360582614587574e-85,0.5277
"Vibration__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",Vibration,0.1258,0.6749,0.5491,0.0738,0.783,0.1369,0.5549,0.9652,21385.0,1.9155880401284e-23,0.4705
Pressure__last_location_of_maximum,Pressure,0.5865,0.8198,0.2333,0.3011,0.1708,0.6333,0.8667,0.9649,22519.0,4.211962706680946e-21,0.0898
Vibration__spkt_welch_density__coeff_2,Vibration,0.0048,0.203,0.1981,0.0075,0.2839,0.0025,0.1191,0.964,2040.0,2.152504557332088e-86,0.495
Temperature__spkt_welch_density__coeff_5,Temperature,0.157,6.8715,6.7145,0.16,9.659,0.1054,3.9502,0.9606,3883.0,1.2371500760528812e-78,0.4698
"Noise__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4",Noise,0.0785,0.6159,0.5374,0.0905,0.7684,0.05,0.375,0.9605,21401.0,7.608355207132732e-24,0.2251
Motor_Current__first_location_of_maximum,Motor_Current,0.5291,0.7733,0.2442,0.3182,0.1776,0.5667,0.8333,0.9597,23168.0,9.252566714534165e-20,0.0916
Motor_Current__index_mass_quantile__q_0.1,Motor_Current,0.119,0.1312,0.0123,0.0165,0.0081,0.1333,0.1333,0.9561,26081.0,5.5539343619066655e-25,0.1077
"Motor_Current__fft_coefficient__attr_""angle""__coeff_1",Motor_Current,12.8709,84.3219,71.451,95.5807,48.6509,24.3485,91.1376,0.9555,21658.0,7.562275169048314e-23,0.2233
"Vibration__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.0",Vibration,0.0002,0.0122,0.0121,0.0002,0.0175,0.0001,0.005,0.9539,1804.0,2.0531552091047915e-87,0.5121
"Temperature__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",Temperature,42.66,44.9466,2.2866,0.5075,3.2807,42.6331,44.3667,0.9529,21276.0,1.1013787511747798e-23,0.3104
"Vibration__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",Vibration,0.0005,0.0361,0.0356,0.0004,0.0518,0.0004,0.0165,0.9497,1027.0,8.121657878026236e-91,0.5358
"Noise__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0",Noise,0.197,6.5782,6.3812,0.1756,9.3082,0.1498,3.0323,0.9473,3426.0,1.5958395516676889e-80,0.4705
Noise__index_mass_quantile__q_0.1,Noise,0.1186,0.1309,0.0123,0.0166,0.0087,0.1333,0.1333,0.9423,26040.5,1.9604890721593242e-24,0.0805
"Temperature__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0",Temperature,0.1415,0.5711,0.4296,0.1225,0.6231,0.1058,0.38,0.9366,20526.5,1.979603321307291e-25,0.1919
Temperature__autocorrelation__lag_6,Temperature,-0.1279,0.0435,0.1714,0.1839,0.1838,-0.1476,0.0428,0.9324,20602.0,3.3648018871109516e-25,0.0994
