feature_name,sensor,normal_mean,anomaly_mean,mean_difference,normal_std,anomaly_std,normal_median,anomaly_median,cohens_d,mann_whitney_u,p_value,mutual_info
"Pressure__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",Pressure,0.0021,0.2112,0.2091,0.0014,0.1291,0.0017,0.2034,2.2389,887.0,1.947774976589572e-91,0.6069
"Motor_Current__fft_coefficient__attr_""abs""__coeff_2",Motor_Current,0.3684,5.3886,5.0202,0.2308,3.104,0.334,5.0067,2.2296,511.0,4.105789480813859e-93,0.6109
"Pressure__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",Pressure,0.0003,0.0182,0.0179,0.0001,0.0112,0.0002,0.0166,2.2102,1336.0,1.8656584277118134e-89,0.596
"Motor_Current__fft_coefficient__attr_""abs""__coeff_10",Motor_Current,0.2652,3.861,3.5959,0.1534,2.2472,0.243,3.4426,2.2068,1936.0,7.655981158421366e-87,0.5451
"Motor_Current__fft_coefficient__attr_""abs""__coeff_8",Motor_Current,0.2533,4.1838,3.9305,0.1459,2.4605,0.2331,4.0127,2.2042,933.0,3.115562465652099e-91,0.5902
"Motor_Current__fft_coefficient__attr_""abs""__coeff_4",Motor_Current,0.2712,4.3636,4.0924,0.1624,2.5692,0.2451,4.153,2.1974,1028.0,8.205462018606392e-91,0.5759
"Motor_Current__fft_coefficient__attr_""abs""__coeff_5",Motor_Current,0.2824,4.1057,3.8233,0.1686,2.4146,0.2515,3.7597,2.1835,716.0,3.3819644275823224e-92,0.5793
"Motor_Current__fft_coefficient__attr_""abs""__coeff_3",Motor_Current,0.2788,4.7635,4.4847,0.1839,2.8356,0.24,4.3963,2.1816,541.0,5.593703465416944e-93,0.5978
"Motor_Current__fft_coefficient__attr_""abs""__coeff_12",Motor_Current,0.2571,3.9293,3.6722,0.1514,2.3413,0.2295,3.6329,2.1636,1119.0,2.0703098939737882e-90,0.5742
"Pressure__fft_coefficient__attr_""abs""__coeff_2",Pressure,0.2542,2.5531,2.2988,0.1505,1.4653,0.2195,2.327,2.1578,924.0,2.8421179359023376e-91,0.5682
Pressure__energy_ratio_by_chunks__num_segments_10__segment_focus_0,Pressure,0.0997,0.0904,-0.0093,0.0015,0.0058,0.0997,0.0893,2.1575,77508.0,3.0114462600740123e-74,0.481
"Motor_Current__fft_coefficient__attr_""imag""__coeff_1",Motor_Current,0.2011,8.2465,8.0454,0.6032,5.1328,0.0701,7.7783,2.1528,3545.0,4.979526907071878e-80,0.5881
"Noise__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",Noise,0.4017,24.4658,24.0641,0.2071,15.5469,0.3659,21.723,2.139,581.0,8.445328834231087e-93,0.6116
"Motor_Current__fft_coefficient__attr_""abs""__coeff_9",Motor_Current,0.2439,3.9919,3.748,0.1384,2.4317,0.2246,3.6884,2.127,807.0,8.594262573302832e-92,0.5975
"Pressure__fft_coefficient__attr_""abs""__coeff_4",Pressure,0.2246,1.9636,1.739,0.1291,1.1239,0.1987,1.8459,2.1257,2769.0,2.79665761646432e-83,0.4908
"Pressure__fft_coefficient__attr_""abs""__coeff_3",Pressure,0.2282,2.114,1.8858,0.131,1.2209,0.2046,2.0065,2.1237,1494.0,9.17883864372396e-89,0.5615
"Vibration__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2",Vibration,0.0003,0.0511,0.0509,0.0001,0.0331,0.0003,0.0445,2.1212,448.0,2.143089225452679e-93,0.6186
"Noise__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",Noise,0.3275,2.0706,1.7431,0.1122,1.133,0.3126,1.9362,2.1167,1148.0,2.7792147019933756e-90,0.5493
"Temperature__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2",Temperature,0.1109,5.9228,5.8119,0.0543,3.7992,0.1008,5.2051,2.114,722.0,3.596688695987902e-92,0.6029
"Motor_Current__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",Motor_Current,0.0031,1.2669,1.2638,0.0026,0.8341,0.0024,1.0974,2.094,148.0,9.561507688407751e-95,0.6513
"Motor_Current__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",Motor_Current,0.1236,0.91,0.7864,0.5365,0.1134,0.1043,0.9448,2.0733,4562.0,7.20282859779817e-76,0.4174
"Pressure__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""min""",Pressure,0.109,0.8519,0.743,0.491,0.1617,0.1397,0.9095,2.0721,4969.0,3.095618889138154e-74,0.3776
"Motor_Current__fft_coefficient__attr_""abs""__coeff_13",Motor_Current,0.2728,3.848,3.5752,0.1603,2.3832,0.2456,3.4518,2.069,1467.0,6.994162099196931e-89,0.5698
"Pressure__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",Pressure,0.4442,-0.0359,-0.4801,0.0582,0.3176,0.4493,-0.0386,2.0579,78237.0,3.469793991744095e-77,0.4901
"Temperature__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2",Temperature,0.1761,0.9898,0.8137,0.0523,0.5445,0.17,0.913,2.0567,1782.5,1.6564363705501956e-87,0.5289
Pressure__sum_of_reoccurring_values,Pressure,40.6382,22.3641,-18.2741,6.0147,10.8593,40.235,22.36,2.0563,75926.0,4.515821341320056e-68,0.4441
"Pressure__fft_coefficient__attr_""abs""__coeff_10",Pressure,0.2362,1.6744,1.4382,0.1217,0.9632,0.2211,1.5604,2.0487,1682.0,6.061332173404385e-88,0.5319
"Noise__fft_coefficient__attr_""imag""__coeff_1",Noise,0.9467,38.5908,37.6441,3.4361,25.1974,0.6291,36.1178,2.0475,3078.0,5.609040281510365e-82,0.5313
"Motor_Current__fft_coefficient__attr_""abs""__coeff_6",Motor_Current,0.2852,4.2175,3.9323,0.1736,2.6529,0.2493,3.9435,2.0446,1258.0,8.476694920845617e-90,0.5735
"Vibration__fft_coefficient__attr_""abs""__coeff_2",Vibration,0.2481,2.0666,1.8185,0.1319,1.2286,0.2264,1.9441,2.0349,2028.0,1.910747685345045e-86,0.518
"Pressure__fft_coefficient__attr_""abs""__coeff_12",Pressure,0.2056,1.6342,1.4286,0.1212,0.9651,0.1844,1.505,2.0314,3223.0,2.2718261572071576e-81,0.4819
"Pressure__fft_coefficient__attr_""abs""__coeff_9",Pressure,0.2217,1.7362,1.5145,0.1092,1.0263,0.2119,1.661,2.0291,2849.0,6.092470643693198e-83,0.5234
